Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"L no Theme","Hideki Taniuchi","DEATH NOTE Original Soundtrack","journey","Playlist","JPVP00614204","1asnqohK6MboIkoR5R3Osz"
"No Role Modelz","J. Cole","2014 Forest Hills Drive","journey","Playlist","USQX91402598","68Dni7IE4VyPkTOH9mRWHr"
"Light no Theme","Hideki Taniuchi","DEATH NOTE Original Soundtrack","journey","Playlist","JPVP00614203","37CZgMBMfnNLul4LQ9rg1u"
"On My Knees","RÜFÜS DU SOL","Surrender","journey","Playlist","USRE12100620","2ouFrmMwYik8nQX2n9SeZu"
"Ambition For Cash","Key Glock","Yellow Tape 2","journey","Playlist","USUYG1390429","4mIHgQ3ofK2RK34UdbqMbe"
"Headlines","Drake","Take Care (Deluxe)","journey","Playlist","USCM51100290","6LxSe8YmdPxy095Ux6znaQ"
"Lost","Frank Ocean","channel ORANGE","journey","Playlist","USUM71207186","3GZD6HmiNUhxXYf8Gch723"
"The Hardest Part","Olivia Dean","The Hardest Part","journey","Playlist","GBUM72003700","0pNj0uRTx5mhi7kID26oiH"
"When Love Takes Over (feat. Kelly Rowland)","David Guetta","One More Love","journey","Playlist","FRZID0900200","1hRFVIy9As8OVRk8B7CrD5"
"Cosmic Ratio","Enrico Sangiuliano","Biomorph","journey","Playlist","GBUR61700216","6JFacTIwH7NCD1p2CmxVVV"
"Island In The Sun","Weezer","Weezer","journey","Playlist","USIR10110358","2MLHyLy5z5l5YRp7momlgw"
"All My Life","Foo Fighters","One By One (Expanded Edition)","journey","Playlist","USRW30200001","6tsojOQ5wHaIjKqIryLZK6"
"You're Gonna Go Far, Kid","The Offspring","Rise And Fall, Rage And Grace","journey","Playlist","USSM10801605","6TfBA04WJ3X1d1wXhaCFVT"
"Love$ick (feat. A$AP Rocky)","Mura Masa","Mura Masa","journey","Playlist","GBUM71605141","3sTN90bIP2cJ1783ctHykO"
"Closing Time","Semisonic","20th Century Masters: The Millennium Collection: Best Of Semisonic","journey","Playlist","USMC19800013","1A5V1sxyCLpKJezp75tUXn"
"Mr. Jones","Counting Crows","August And Everything After","journey","Playlist","USIR10000287","5DiXcVovI0FcY2s0icWWUu"
"Iris","The Goo Goo Dolls","Dizzy up the Girl","journey","Playlist","USWB19800160","6Qyc6fS4DsZjB2mRW9DsQs"
"Everlong","Foo Fighters","The Colour And The Shape","journey","Playlist","USRW29600011","5UWwZ5lm5PKu6eKsHAGxOk"
"This Is What It Feels Like","Armin van Buuren","Intense","journey","Playlist","NLF711303312","5GjnIpUlLGEIYk052ISOw9"
"Cooler Than Me - Single Mix","Mike Posner","31 Minutes to Takeoff","journey","Playlist","USJAY1000035","2V4bv1fNWfTcyRJKmej6Sj"
"Poker Face","Lady Gaga","The Fame","journey","Playlist","USUM70824409","1QV6tiMFM6fSOKOGLMHYYg"
"On Top","Flume","Flume","journey","Playlist","AUFF00500382","03vVvSjH6SwR5TJj7XXFlZ"
"Fast Car","Jonas Blue","Fast Car","journey","Playlist","GBUM71507621","2mCF8L0brIs88eH6Kf2h9p"
"a lot","21 Savage","i am > i was","journey","Playlist","QZ45A1700126","2t8yVaLvJ0RenpXUIAC52d"
"Where Have You Been","Rihanna","Talk That Talk","journey","Playlist","USUM71118074","5WQQIDU3HRaMyPkob8mpFb"
"We Found Love","Rihanna","Talk That Talk","journey","Playlist","USUM71115507","6qn9YLKt13AGvpq9jfO8py"
"Stay","Rihanna","Unapologetic (Deluxe)","journey","Playlist","USUM71214758","4zzzZ1UNfr75ASG1lUE9L1"
"Chasing Cars","Snow Patrol","Eyes Open","journey","Playlist","GBUM70600345","5hnyJvgoWiQUYZttV4wXy6"
"edamame","bbno$","eat ya veggies","journey","Playlist","QMUY42100151","5rW7qTn83sCKtqBoneJs63"
"Since U Been Gone","Kelly Clarkson","Breakaway","journey","Playlist","GBCTA0400231","6JY1IdkZGeIcPegKxjSKeb"
"Stronger (What Doesn't Kill You)","Kelly Clarkson","Stronger (Deluxe Version)","journey","Playlist","GBCTA1100364","1nInOsHbtotAmEOQhtvnzP"
"Miracle Maker (feat. Clementine Douglas)","Dom Dolla","Miracle Maker (feat. Clementine Douglas)","journey","Playlist","USQX92201881","51mycpP5uFInLw300nestX"
"The Worst","Jhené Aiko","Sail Out","journey","Playlist","USUM71312346","2wBCrtJS3E3TimRZ5MElTI"
"august","Taylor Swift","folklore","journey","Playlist","USUG12002842","3hUxzQpSfdDqwM3ZTFQY0K"
"Cruel Summer","Taylor Swift","Lover","journey","Playlist","USUG11901472","1BxfuPKGuaTgP7aM0Bbdwr"
"Bejeweled","Taylor Swift","Midnights","journey","Playlist","USUG12205715","3qoftcUZaUOncvIYjFSPdE"
"Lavender Haze","Taylor Swift","Midnights","journey","Playlist","USUG12205734","5jQI2r1RdgtuT8S3iG8zFC"
"Midnight Rain","Taylor Swift","Midnights","journey","Playlist","USUG12205712","3rWDp9tBPQR9z6U5YyRSK4"
"Stay Ready (What A Life)","Jhené Aiko","Sail Out","journey","Playlist","USUM71312344","5nkUIVKqOqdpB6ApKgEMkv"
"While We're Young","Jhené Aiko","Trip","journey","Playlist","USUM71705478","4mL59LVbKgOpEACxraGYdr"
"Sativa","Jhené Aiko","Trip","journey","Playlist","USUM71710460","2pg2TiYo9Rb8KeB5JjP7jS"
"Dance with Me","Kaskade","Dance with Me","journey","Playlist","QMDA62282977","4AonDN7yeOZbMI2rIOYQHa"
"Love On The Brain","Rihanna","ANTI (Deluxe)","journey","Playlist","QM5FT1600120","5oO3drDxtziYU2H1X23ZIp"
"S&M","Rihanna","Loud","journey","Playlist","USUM71026591","0C4ejWmOTMv8vuYj85mf8m"
"LOVE. FEAT. ZACARI.","Kendrick Lamar","DAMN.","journey","Playlist","USUM71703088","6PGoSes0D9eUDeeAafB2As"
"Clara (the night is dark)","Fred again..","Actual Life 3 (January 1 - September 9 2022)","journey","Playlist","GBAHS2201425","1ftsPnNZSEc3gZAVzbtWsI"
"Jungle","Fred again..","Jungle","journey","Playlist","GBAHS2200844","31B7wLv4yvtjDoTTmbnxeE"
"Danielle (smile on my face)","Fred again..","Danielle (smile on my face)","journey","Playlist","GBAHS2201033","2sLVs5iX0osogh4jcsAJkv"
"Strong","Romy","Strong","journey","Playlist","UK7MC2200175","5bF00VrMY3FwnQDgoP4Gnk"
"Jungle","Fred again..","USB","journey","Playlist","GBAHS2200844","3fSDSeR4mOGCldB3nhq7M1"
"Delilah (pull me out of this)","Fred again..","Actual Life 3 (January 1 - September 9 2022)","journey","Playlist","GBAHS2201419","3wJrBiiTIRRfKSL2TQWR60"
"Marea (we’ve lost dancing)","Fred again..","Actual Life (April 14 - December 17 2020)","journey","Playlist","GBAHS2100041","5Z8Dj3LtbyCMiwE86rhg2f"
"No Church In The Wild","JAY-Z","Watch The Throne (Deluxe)","journey","Playlist","USUM71111617","3Osd3Yf8K73aj4ySn6LrvK"
"Shining (feat. Beyoncé & Jay-Z)","DJ Khaled","Grateful","journey","Playlist","USSM11701519","3OoZagIW3YK8vjt0ws6NOI"
"Kids Turned Out Fine","A$AP Rocky","TESTING","journey","Playlist","USRC11801928","0qp8MuZNKelOGTK2HPlXBA"
"POPSTAR (feat. Drake)","DJ Khaled","POPSTAR (feat. Drake)","journey","Playlist","USSM12004501","6EDO9iiTtwNv6waLwa1UUq"
"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)","A$AP Rocky","TESTING","journey","Playlist","USRC11802276","3oHkMCVJyOcjg5FhfLc2Rq"
"Cocaine Model","ZHU","THE NIGHTDAY","journey","Playlist","QMALR1400006","6J5Oxg5XtxRdVAbExaWFYB"
"Miss You","Oliver Tree","Miss You","journey","Playlist","USAT22211992","73vIOb4Q7YN6HeJTbscRx5"
"Moving to New York","The Wombats","Proudly Present... A Guide to Love, Loss & Desperation","journey","Playlist","GBFTG0300127","7GvkOFkNsM6Exnkyqeajqm"
"Shittin' Me","A$AP Rocky","Shittin' Me","journey","Playlist","USRC11803837","31UJ8vd4JQc1JEa7TgcDSz"
"L$D","A$AP Rocky","AT.LONG.LAST.A$AP","journey","Playlist","USRC11500789","4S7YHmlWwfwArgd8LfSPud"
"Woozaapooloo","DJ Anikey","Rave 4","journey","Playlist","GBKQU1815169","2LAYLKQX0TqBgAp8hW72wR"
"In My Head","PNAU","Changa","journey","Playlist","AUNV01700126","3MThRdKGUTarLK7RK2RdZs"
